iamge_link,image_alt,title,heading_link,main_content,article_title,article_status,article_uploaded,article_calendar,hahhhaha
https://i.dawn.com/thumbnail/2021/11/619457e9e2a3e.jpg,Down but not out,title,https://www.dawn.com/news/1658550/down-but-not-out,"THERE isn’t a great deal to be said for sprawling international conferences, at least as far as outcomes are concerned. Perhaps everyone represented gets to have their say on the conference floor. You can rest assured, though, that most of the words — particularly words of wisdom — will fall on deaf ears.",Down but not out,Published,"17 Nov, 2021 06:41am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619457a984fcb.jpg,‘Lala’ land,title,https://www.dawn.com/news/1658549/lala-land,"LALA was a door-to-door salesman. Yes! this breed of salespeople is not restricted to the Hollywood movies of yore; our neck of the woods had them too. The smuggled-goods markets, generically called ‘bara’ and somewhat disingenuously ‘chor bazar’ preceded the advent of the malls and the online shopping options. The payment methods at the marketplace were also mostly restricted to cash.",‘Lala’ land,Published,"17 Nov, 2021 06:41am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6194574ca394a.jpg,Rushing towards a calamity,title,https://www.dawn.com/news/1658548/rushing-towards-a-calamity,"THE climate summit held in Glasgow did not produce the agreement that the ailing planet that we all inhabit so desperately needed. Many thousands of people attended, Covid-19 restrictions notwithstanding. Most came from the Western countries that are directly responsible for producing the crisis itself, and few, according to Mary Robinson, a former Prime Minister of Ireland, came with a “crisis” mindset that would lead to any sort of urgency in coming to a consensus.",Rushing towards a calamity,Updated,"17 Nov, 2021 07:45am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619456f98da77.jpg,Winds of change,title,https://www.dawn.com/news/1658547/winds-of-change,"SINCE coming to power more than three years ago, the PTI government has staggered from crisis to crisis. But now, it’s fighting for its survival. With the winds of change blowing, its allies have raised their stakes. Last week, the government was twice defeated in the National Assembly in voting on some bills and a joint session of parliament was called off at the last moment.",Winds of change,Updated,"17 Nov, 2021 07:34am","17 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6193138629509.jpg,Flying high in the ad world,title,https://www.dawn.com/news/1658382/flying-high-in-the-ad-world,"IN a recent ad on television, a grandmother wants her granddaughter to get engaged so it provides an excuse to hold a celebration in the family. Upon being told that the young girl is interested in studying further, she suggests that the celebration be held when the granddaughter graduates. To be honest, I can’t really remember what the ad is selling, though the message was positive enough to have left an imprint.",Flying high in the ad world,Published,"16 Nov, 2021 07:12am","16 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/619313346f312.jpg,A damaging debate on Savarkar,title,https://www.dawn.com/news/1658381/a-damaging-debate-on-savarkar,"A TWO-VOLUME book on Vinayak Damodar Savarkar has triggered unease among liberal intellectuals. Savarkar was a suspect in the conspiracy to assassinate Gandhi and is said to have closely escaped conviction. In the liberal lore, he is the chief author of Hindu fascism. They never fail to highlight his craven apologies to his British jailers to seek freedom from prison. Hindutva advocates regard him as a towering hero, much more actively since their party took power in 2014.",A damaging debate on Savarkar,Updated,"16 Nov, 2021 08:07am","16 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6193116016394.jpg,A scary future?,title,https://www.dawn.com/news/1658380/a-scary-future,"OUR progress in 75 years ranks poorly even regionally. How will it be in our next 25 years’ run-up to 100 years of freedom? Futures studies review current trends to predict the future. Social scientists often fail to even review the past well. Their forays into the future are even more iffy. But by giving multiple scenarios and not one outcome, futures studies give useful insights. I review six key trends.",A scary future?,Updated,"16 Nov, 2021 07:54am","16 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/61931106e1a38.jpg,Sitting ducks,title,https://www.dawn.com/news/1658379/sitting-ducks,"WHAT is common between the Pakistan Engineering Council and parrots? Other than the fact that they begin with the letter ‘P’, both are capable of issuing statements from time to time which no one takes seriously. And both are toothless. The PEC is supposed to safeguard the rights of engineering firms and engineers in the country but it has sadly failed to do so as it is not backed up by any political will or government support. Recently, prominently placed appeals by the Contractors Association of Pakistan to the prime minister and planning minister were published by newspapers. These appeals were alerting those in power to the imminent collapse of the construction/ engineering sector. The publication of such appeals indicates how toothless the PEC is that despite having a PTI parliamentarian as the recently elected chairman, the matter could not be brought to the notice of those in authority via any official forum.",Sitting ducks,Published,"16 Nov, 2021 07:01am","16 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6191c3af906c0.jpg,Geopolitics in unsettled times,title,https://www.dawn.com/news/1658194/geopolitics-in-unsettled-times,"THERE is little doubt that the world is in the throes of one of its most unsettled periods. The coronavirus pandemic has only added to uncertainty in international politics at a time when the world is in flux — with global power shifting, the stand-off between the world’s two superpowers continuing and a rules-based order eroding as big powers qualify their support to multilateralism.",Geopolitics in unsettled times,Updated,"15 Nov, 2021 07:43am","15 Nov, 2021",welcome in my world
https://i.dawn.com/thumbnail/2021/11/6191c3651bdc4.jpg,Culture of saving and consumption,title,https://www.dawn.com/news/1658193/culture-of-saving-and-consumption,"STANDARD ways of thinking about the economy suggest that decisions to spend, save, and what to spend on and where to save are shaped by incentives and constraints. Households will spend more over and above basic subsistence needs if it’s of greater benefit to them (in the present and in the future), and households will choose to save more if they have money left over after fulfilling their basic requirements of clothes, shelter, healthcare etc. The existing system of incentives and constraints on expenditure and savings is usually set by the government through taxes, interest rates, and administrative procedures that can facilitate one over the other.",Culture of saving and consumption,Published,"15 Nov, 2021 07:17am","15 Nov, 2021",welcome in my world
