iamge_link,image_alt,title,heading_link,main_content,article_title,article_status,article_uploaded,article_calendar,hahhhaha
https://i.dawn.com/medium/2021/11/619500d49ae03.jpg,"Delhi, Lahore smog forces school closures as residents choke",title,https://www.dawn.com/news/1658629/delhi-lahore-smog-forces-school-closures-as-residents-choke,India's capital has shut schools and coal plants as it battles dangerous levels of air pollution in the region that on Wednesday left residents of Lahore choking on acrid smog.,"Delhi, Lahore smog forces school closures as residents choke",Published,"17 Nov, 2021 06:55pm","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/6194e3fae8831.png,"Govt powers through 33 crucial bills in joint session; allows voting rights for overseas Pakistanis, use of EVMs",title,https://www.dawn.com/news/1658607/govt-powers-through-33-crucial-bills-in-joint-session-allows-voting-rights-for-overseas-pakistanis-use-of-evms,"Amid fervent protest by the opposition, the government on Wednesday managed to bulldoze amendments to the Elections Act, 2017, in the joint session of parliament, thereby allowing the use of electronic voting machines and granting voting rights to overseas Pakistanis.","Govt powers through 33 crucial bills in joint session; allows voting rights for overseas Pakistanis, use of EVMs",Updated,"17 Nov, 2021 08:42pm","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/6194f204b70af.png,Opposition says will challenge electoral amendments in Supreme Court,title,https://www.dawn.com/news/1658625/opposition-says-will-challenge-electoral-amendments-in-supreme-court,"Following a chaotic joint session of parliament on Wednesday, during which the government passed amendments to the Elections Act, 2017 and multiple other bills, the opposition announced that it will challenge the move in the Supreme Court.",Opposition says will challenge electoral amendments in Supreme Court,Updated,"17 Nov, 2021 07:43pm","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/619478e44cbfe.jpg,Opposition slams govt in Senate for convening joint session without holding talks,title,https://www.dawn.com/news/1658522/opposition-slams-govt-in-senate-for-convening-joint-session-without-holding-talks,ISLAMABAD: The government on Tuesday drew flak from the opposition in the Senate for convening a joint session of parliament without holding talks to evolve consensus on electoral reforms.,Opposition slams govt in Senate for convening joint session without holding talks,Updated,"17 Nov, 2021 08:39am","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/6194bf4872e06.jpg,"Noor Mukadam murder: Zahir Jaffer refuses legal representation again, insists on counsel of own choice",title,https://www.dawn.com/news/1658618/noor-mukadam-murder-zahir-jaffer-refuses-legal-representation-again-insists-on-counsel-of-own-choice,"Zahir Zakir Jaffer, the primary accused in the Noor Mukadam murder case, on Wednesday again refused to sign a power of attorney that would have seen him receive legal representation, as he insisted on being represented by a counsel of his own choice.","Noor Mukadam murder: Zahir Jaffer refuses legal representation again, insists on counsel of own choice",Updated,"17 Nov, 2021 04:46pm","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/6194ceeec9553.png,Maryam calls affidavit by ex-GB top judge 'third judicial testimony of Nawaz's innocence',title,https://www.dawn.com/news/1658608/maryam-calls-affidavit-by-ex-gb-top-judge-third-judicial-testimony-of-nawazs-innocence,"PML-N Vice President Maryam Nawaz on Wednesday called the explosive affidavit by former chief judge of Gilgit-Baltistan Rana Mohammad Shamim ""the third major testimony from within the judiciary"" that she claimed proved her and her father Nawaz Sharif's innocence.",Maryam calls affidavit by ex-GB top judge 'third judicial testimony of Nawaz's innocence',Updated,"17 Nov, 2021 05:17pm","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/61947a1b4d64d.jpg,NA sees heated debate on GB judge’s affidavit for second day,title,https://www.dawn.com/news/1658523/na-sees-heated-debate-on-gb-judges-affidavit-for-second-day,ISLAMABAD: The National Assembly for the second consecutive day on Tuesday continued an informal and heated debate on the controversial affidavit of former chief judge of the apex court of Gilgit-Baltistan Rana Shamim regarding the alleged role of former chief justice of Pakistan (CJP) Saqib Nisar in the denial of bail to Nawaz Sharif and his daughter Maryam Nawaz in corruption cases as opposition members insisted on their demand for a parliamentary probe while the treasury members termed the issue “planned and fabricated”.,NA sees heated debate on GB judge’s affidavit for second day,Updated,"17 Nov, 2021 08:45am","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/61941b005f882.jpg,PPP wants allegations against former CJP investigated,title,https://www.dawn.com/news/1658496/ppp-wants-allegations-against-former-cjp-investigated,RAWALPINDI: Pakistan People’s Party (PPP) leaders on Tuesday said the allegations levelled by former chief justice of Gilgit-Baltistan Rana Shamim against former chief justice of Pakistan Mian Saqib Nisar should be investigated.,PPP wants allegations against former CJP investigated,Updated,"17 Nov, 2021 10:12am","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/619480716462a.jpg,"SHC forms body to unearth Quaid-i-Azam, Fatima Jinnah’s lost assets",title,https://www.dawn.com/news/1658475/shc-forms-body-to-unearth-quaid-i-azam-fatima-jinnahs-lost-assets,KARACHI: The Sindh High Court on Tuesday ordered constitution of a commission to conduct an investigation and locate precious assets and belongings left by father of the nation Quaid-i-Azam Mohammad Ali Jinnah and his sister Fatima Jinnah.,"SHC forms body to unearth Quaid-i-Azam, Fatima Jinnah’s lost assets",Updated,"17 Nov, 2021 11:27am","17 Nov, 2021",welcome in my world
https://i.dawn.com/medium/2021/11/6194821e46f74.png,Covid-19 positivity rate drops to 0.64pc,title,https://www.dawn.com/news/1658526/covid-19-positivity-rate-drops-to-064pc,ISLAMABAD: The lowest positivity rate for Covid-19 and the least number of infections were reported on Tuesday in the country for the past 14 months.,Covid-19 positivity rate drops to 0.64pc,Updated,"17 Nov, 2021 09:16am","17 Nov, 2021",welcome in my world
